trial,learners,groups,learners_per_group,validation_samples,test_samples,correlation_threshold,graph_edges,mean_validation_error_correlation,gamma_dsi,red_size,blue_size,red_vertices,blue_vertices,dsi_test_accuracy,random_mean_test_accuracy,random_sd_test_accuracy,dsi_minus_random_accuracy,dsi_accuracy_percentile,dsi_mean_individual_accuracy,random_mean_individual_accuracy,dsi_avg_error_correlation,random_mean_error_correlation,dsi_minus_random_correlation,dsi_status,cbc_wall_time_seconds,driver_wall_time_seconds,cbc_nodes,lp_file,log_file,solution_file
18,48,6,8,1000,3000,0.15,168,0.077877,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.951333,0.927555,0.016099,0.023778,0.982500,0.773944,0.771850,0.049924,0.080308,-0.030385,Optimal,0.04,0.050122,0,lp/trial_018.lp,logs/trial_018.log,solutions/trial_018.sol
19,48,6,8,1000,3000,0.15,168,0.070811,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.967333,0.947332,0.018532,0.020002,0.950000,0.791139,0.795596,0.041021,0.074693,-0.033671,Optimal,0.03,0.047016,0,lp/trial_019.lp,logs/trial_019.log,solutions/trial_019.sol
20,48,6,8,1000,3000,0.15,168,0.069597,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.941667,0.933025,0.016197,0.008642,0.647500,0.772833,0.777089,0.049718,0.078695,-0.028977,Optimal,0.03,0.043949,0,lp/trial_020.lp,logs/trial_020.log,solutions/trial_020.sol
21,48,6,8,1000,3000,0.15,168,0.075970,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.950333,0.928043,0.015936,0.022290,0.972500,0.770778,0.768702,0.043392,0.074692,-0.031300,Optimal,0.03,0.045907,0,lp/trial_021.lp,logs/trial_021.log,solutions/trial_021.sol
22,48,6,8,1000,3000,0.15,168,0.077687,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.942000,0.917567,0.018814,0.024433,0.945000,0.755806,0.758723,0.041654,0.078771,-0.037117,Optimal,0.03,0.044651,0,lp/trial_022.lp,logs/trial_022.log,solutions/trial_022.sol
23,48,6,8,1000,3000,0.15,168,0.078825,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.956667,0.937058,0.016272,0.019608,0.950000,0.780722,0.779051,0.041540,0.073979,-0.032439,Optimal,0.03,0.045695,0,lp/trial_023.lp,logs/trial_023.log,solutions/trial_023.sol
24,48,6,8,1000,3000,0.15,168,0.085600,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.937333,0.914787,0.018092,0.022547,0.930000,0.759333,0.762489,0.053388,0.086580,-0.033192,Optimal,0.03,0.045908,0,lp/trial_024.lp,logs/trial_024.log,solutions/trial_024.sol
25,48,6,8,1000,3000,0.15,168,0.073596,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.951333,0.932455,0.016885,0.018878,0.935000,0.780278,0.777378,0.048725,0.077596,-0.028871,Optimal,0.03,0.043227,0,lp/trial_025.lp,logs/trial_025.log,solutions/trial_025.sol
26,48,6,8,1000,3000,0.15,168,0.076100,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.953667,0.927222,0.016049,0.026445,0.995000,0.769778,0.769497,0.045584,0.077674,-0.032089,Optimal,0.03,0.045412,0,lp/trial_026.lp,logs/trial_026.log,solutions/trial_026.sol
27,48,6,8,1000,3000,0.15,168,0.077351,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.955667,0.932295,0.016804,0.023372,0.985000,0.775361,0.772536,0.048615,0.074066,-0.025451,Optimal,0.03,0.045294,0,lp/trial_027.lp,logs/trial_027.log,solutions/trial_027.sol
28,48,6,8,1000,3000,0.15,168,0.073118,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.952000,0.929822,0.013179,0.022178,1.000000,0.772083,0.771297,0.046206,0.075827,-0.029621,Optimal,0.04,0.048787,0,lp/trial_028.lp,logs/trial_028.log,solutions/trial_028.sol
29,48,6,8,1000,3000,0.15,168,0.086407,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.958000,0.936317,0.013588,0.021683,0.990000,0.784444,0.783674,0.051698,0.081989,-0.030291,Optimal,0.03,0.043662,0,lp/trial_029.lp,logs/trial_029.log,solutions/trial_029.sol
